,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
234,3,0,3.0,0.0,19.997333688841486,0.0
235,227,9,200.0,18.0,364.5239509899957,3.9647577092511015
236,71,1,70.0,0.0,234.8116545953633,1.408450704225352
237,261,2,245.0,14.0,397.1393791844188,0.7662835249042146
238,0,0,887.0,159.0,641.6459920586044,4.387568555758683
239,1301559,48212,0.0,1253347.0,2325.159171948579,3.704173226108075
240,16,0,13.0,3.0,459.3741027849555,0.0
241,958,4,860.0,94.0,2843.489359176041,0.4175365344467641
242,368,25,332.0,11.0,432.77824818891713,6.793478260869565
243,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
244,49784,933,0.0,48851.0,2645.833333333333,1.8740960951309655
245,3,0,3.0,0.0,52.994170641229466,0.0
246,88361,3503,0.0,84858.0,1617.3558105906686,3.9644186915041706
247,746,6,700.0,40.0,1926.752414897464,0.8042895442359249
248,0,0,0.0,0.0,,
249,72341,2376,0.0,69965.0,2304.881157203849,3.284444505881865
250,811,32,0.0,0.0,0.0,0.0
251,283,16,0.0,0.0,0.0,0.0
252,4,0,3.0,1.0,26.663111585121985,0.0
253,227,9,200.0,18.0,364.5239509899957,3.9647577092511015
254,71,1,70.0,0.0,234.8116545953633,1.408450704225352
255,265,2,245.0,18.0,403.2258064516129,0.7547169811320755
256,0,0,887.0,159.0,641.6459920586044,4.387568555758683
257,1314888,48406,0.0,1266482.0,2348.970652337023,3.681378185822671
258,16,0,13.0,3.0,459.3741027849555,0.0
259,967,5,871.0,91.0,2870.20272476329,0.5170630816959669
260,369,25,332.0,12.0,433.9542760372565,6.775067750677507
261,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
262,50064,936,0.0,49128.0,2660.714285714286,1.8696069031639504
263,3,0,3.0,0.0,52.994170641229466,0.0
264,89310,3503,0.0,85807.0,1634.7262643457252,3.9222931362669353
265,746,6,700.0,40.0,1926.752414897464,0.8042895442359249
266,0,0,0.0,0.0,,
267,73233,2385,0.0,70848.0,2333.301471993883,3.256728524026054
268,819,32,0.0,0.0,0.0,0.0
269,283,16,0.0,0.0,0.0,0.0
270,4,0,3.0,1.0,26.663111585121985,0.0
271,227,9,200.0,18.0,364.5239509899957,3.9647577092511015
272,71,1,70.0,0.0,234.8116545953633,1.408450704225352
273,266,2,249.0,15.0,404.7474132684114,0.7518796992481203
274,0,0,937.0,139.0,659.2414031753852,4.270462633451957
275,1324742,48941,0.0,1275801.0,2366.574248086721,3.6943797358278063
276,16,0,13.0,3.0,459.3741027849555,0.0
277,981,5,885.0,91.0,2911.756849010121,0.509683995922528
278,369,25,336.0,8.0,433.9542760372565,6.775067750677507
279,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
280,50143,947,0.0,49196.0,2664.9128401360545,1.8885986079811736
281,3,0,3.0,0.0,52.994170641229466,0.0
282,90081,3544,0.0,86537.0,1648.8386140244909,3.934236964509719
283,746,6,700.0,40.0,1926.752414897464,0.8042895442359249
284,0,0,0.0,0.0,,
285,73828,2406,0.0,71422.0,2352.258968967056,3.2589261526792
286,826,32,0.0,0.0,0.0,0.0
287,283,16,0.0,0.0,0.0,0.0
288,4,0,3.0,1.0,26.663111585121985,0.0
289,239,9,205.0,25.0,383.7939395885857,3.7656903765690375
290,71,1,70.0,0.0,234.8116545953633,1.408450704225352
291,269,2,249.0,18.0,409.3122337188071,0.7434944237918215
292,0,0,960.0,139.0,672.7312183649171,4.184829991281604
293,1340635,49545,0.0,1291090.0,2394.966164795667,3.695636769142981
294,16,0,13.0,3.0,459.3741027849555,0.0
295,991,5,895.0,91.0,2941.438366329287,0.5045408678102926
296,369,25,338.0,6.0,433.9542760372565,6.775067750677507
297,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
298,50676,954,0.0,49722.0,2693.2397959183672,1.8825479516931087
299,3,0,3.0,0.0,52.994170641229466,0.0
300,90961,3588,0.0,87373.0,1664.946094851097,3.944547663284265
301,746,6,700.0,40.0,1926.752414897464,0.8042895442359249
302,0,0,0.0,0.0,,
303,74735,2446,0.0,72289.0,2381.15720384885,3.272897571419014
304,835,32,0.0,0.0,0.0,0.0
305,283,16,0.0,0.0,0.0,0.0
306,4,0,3.0,1.0,26.663111585121985,0.0
307,241,9,206.0,26.0,387.0056043550174,3.734439834024896
308,71,1,70.0,0.0,234.8116545953633,1.408450704225352
309,269,2,249.0,18.0,409.3122337188071,0.7434944237918215
310,0,0,960.0,139.0,672.7312183649171,4.184829991281604
311,1355272,49956,0.0,1305316.0,2421.114310826551,3.6860497376172456
312,16,0,13.0,3.0,459.3741027849555,0.0
313,991,5,903.0,83.0,2941.438366329287,0.5045408678102926
314,369,25,338.0,6.0,433.9542760372565,6.775067750677507
315,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
316,51118,962,0.0,50156.0,2716.730442176871,1.8819202629210845
317,3,0,3.0,0.0,52.994170641229466,0.0
318,92186,3639,0.0,88547.0,1687.3684403199532,3.9474540602694552
319,746,6,700.0,40.0,1926.752414897464,0.8042895442359249
320,0,0,0.0,0.0,,
321,75986,2474,0.0,73512.0,2421.0157395016886,3.255862922117232
322,840,32,0.0,0.0,0.0,0.0
323,285,16,0.0,0.0,0.0,0.0
324,4,0,3.0,1.0,26.663111585121985,0.0
325,242,9,207.0,26.0,388.6114367382333,3.71900826446281
326,71,1,70.0,0.0,234.8116545953633,1.408450704225352
327,269,2,249.0,18.0,409.3122337188071,0.7434944237918215
328,0,0,960.0,210.0,714.3736913412982,3.940886699507389
329,1367546,50407,0.0,1317139.0,2443.041095303088,3.685945481907007
330,16,0,13.0,3.0,459.3741027849555,0.0
331,999,5,905.0,89.0,2965.183580184619,0.5005005005005005
332,369,25,338.0,6.0,433.9542760372565,6.775067750677507
333,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
334,51509,974,0.0,50535.0,2737.5106292517007,1.890931681842008
335,3,0,3.0,0.0,52.994170641229466,0.0
336,93155,3676,0.0,89479.0,1705.1049731847052,3.946111319843272
337,748,6,705.0,37.0,1931.917970969575,0.8021390374331551
338,0,0,0.0,0.0,,
339,77091,2494,0.0,74597.0,2456.222519594724,3.2351376944130963
340,873,32,0.0,0.0,0.0,0.0
341,286,16,0.0,0.0,0.0,0.0
342,4,0,3.0,1.0,26.663111585121985,0.0
343,247,9,211.0,27.0,396.6405986543125,3.643724696356276
344,71,1,70.0,0.0,234.8116545953633,1.408450704225352
345,274,2,252.0,20.0,416.9202678027997,0.7299270072992701
346,0,0,975.0,195.0,714.3736913412982,3.940886699507389
347,1380869,50804,0.0,1330065.0,2466.841857041796,3.6791324883098975
348,16,0,13.0,3.0,459.3741027849555,0.0
349,1009,5,920.0,84.0,2994.8650975037845,0.4955401387512388
350,369,25,338.0,6.0,433.9542760372565,6.775067750677507
351,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
352,51824,983,0.0,50841.0,2754.2517006802723,1.896804569311516
353,3,0,3.0,0.0,52.994170641229466,0.0
354,93943,3720,0.0,90223.0,1719.528490106712,3.959847992931884
355,748,6,706.0,36.0,1931.917970969575,0.8021390374331551
356,0,0,0.0,0.0,,
357,78536,2523,0.0,76013.0,2502.2621551010006,3.2125394723438934
358,898,32,0.0,0.0,0.0,0.0
359,286,16,0.0,0.0,0.0,0.0
360,4,0,3.0,1.0,26.663111585121985,0.0
361,251,9,213.0,29.0,403.0639281871758,3.585657370517928
362,71,1,70.0,0.0,234.8116545953633,1.408450704225352
363,274,2,252.0,20.0,416.9202678027997,0.7299270072992701
364,0,0,975.0,195.0,714.3736913412982,3.940886699507389
365,1390923,50998,0.0,1339925.0,2484.802741116026,3.666486210954884
366,16,0,13.0,3.0,459.3741027849555,0.0
367,1014,5,932.0,77.0,3009.705856163367,0.4930966469428008
368,369,25,338.0,6.0,433.9542760372565,6.775067750677507
369,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
370,52175,986,0.0,51189.0,2772.906037414966,1.8897939626257787
371,3,0,3.0,0.0,52.994170641229466,0.0
372,94689,3722,0.0,90967.0,1733.1832408983582,3.930762812998342
373,748,6,706.0,36.0,1931.917970969575,0.8021390374331551
374,0,0,0.0,0.0,,
375,79540,2539,0.0,77001.0,2534.250939909514,3.192104601458386
376,928,32,0.0,0.0,0.0,0.0
377,286,16,0.0,0.0,0.0,0.0
378,6,0,3.0,3.0,39.99466737768297,0.0
379,260,9,214.0,37.0,417.5164196361184,3.4615384615384617
380,71,1,70.0,0.0,234.8116545953633,1.408450704225352
381,274,2,252.0,20.0,416.9202678027997,0.7299270072992701
382,0,0,1012.0,239.0,761.8813013566062,3.695150115473441
383,1401792,51187,0.0,1350605.0,2504.2195751127247,3.6515403141122222
384,16,0,13.0,3.0,459.3741027849555,0.0
385,1020,5,939.0,76.0,3027.514766554866,0.4901960784313725
386,369,25,338.0,6.0,433.9542760372565,6.775067750677507
387,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
388,52465,996,0.0,51469.0,2788.3184523809523,1.898408462784713
389,3,0,3.0,0.0,52.994170641229466,0.0
390,95058,3725,0.0,91333.0,1739.937400472242,3.918660186412506
391,748,6,717.0,25.0,1931.917970969575,0.8021390374331551
392,0,0,0.0,0.0,,
393,80342,2540,0.0,77802.0,2559.8037341489835,3.1614846531079634
394,956,32,0.0,0.0,0.0,0.0
395,286,16,0.0,0.0,0.0,0.0
396,6,0,3.0,3.0,39.99466737768297,0.0
397,262,9,214.0,39.0,420.72808440255005,3.435114503816794
398,72,1,71.0,0.0,238.11886099811488,1.3888888888888888
399,285,2,254.0,29.0,433.6579427875837,0.7017543859649122
400,0,0,1012.0,281.0,786.5148769200993,3.5794183445190155
401,1413410,51718,0.0,1361692.0,2524.974453884796,3.6590939642425058
402,16,0,13.0,3.0,459.3741027849555,0.0
403,1030,5,950.0,75.0,3057.1962838740315,0.4854368932038835
404,369,25,340.0,4.0,433.9542760372565,6.775067750677507
405,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
406,52856,1011,0.0,51845.0,2809.098639455782,1.9127440593310123
407,3,0,3.0,0.0,52.994170641229466,0.0
408,95811,3759,0.0,92052.0,1753.7202789522817,3.923349093527883
409,750,6,720.0,24.0,1937.083527041686,0.8
410,0,0,0.0,0.0,,
411,81009,2563,0.0,78446.0,2581.055247562608,3.1638459924205957
412,986,32,0.0,0.0,0.0,0.0
413,287,16,0.0,0.0,0.0,0.0
414,6,0,3.0,3.0,39.99466737768297,0.0
415,267,9,215.0,43.0,428.75724631862926,3.3707865168539324
416,72,1,71.0,0.0,238.11886099811488,1.3888888888888888
417,285,2,256.0,27.0,433.6579427875837,0.7017543859649122
418,0,0,1012.0,337.0,819.35964433809,3.435934144595562
419,1426733,52273,0.0,1374460.0,2548.775215623504,3.663824976362081
420,17,0,15.0,2.0,488.0849842090152,0.0
421,1035,5,954.0,76.0,3072.037042533614,0.4830917874396135
422,369,25,344.0,0.0,433.9542760372565,6.775067750677507
423,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
424,53272,1015,0.0,52257.0,2831.207482993197,1.90531611353056
425,3,0,3.0,0.0,52.994170641229466,0.0
426,96762,3797,0.0,92965.0,1771.1273406183077,3.924061098365061
427,750,6,720.0,24.0,1937.083527041686,0.8
428,0,0,0.0,0.0,,
429,82489,2614,0.0,79875.0,2628.210029949659,3.168907369467444
430,1013,32,0.0,0.0,0.0,0.0
431,287,16,0.0,0.0,0.0,0.0
432,6,0,3.0,3.0,39.99466737768297,0.0
433,272,9,216.0,47.0,436.78640823470846,3.3088235294117645
